magnitude
2.9
2.9
2.69
2.7
3.1
2.9
3.54
2.6
2.81
2.82
2.84
3
2.5
2.5
2.5
2.5
2.6
2.73
2.5
2.9
2.8
2.5
3.2
2.8
3.3
2.8
3.3
2.6
2.58
2.6
3.2
2.6
2.5
2.6
3.4
2.6
2.8
2.89
3.23
4.12
2.6
2.6
3.07
2.6
2.6
3.12
3
2.94
2.89
2.52
2.5
4.2
3.4
2.6
2.9
2.8
2.6
3.09
2.85
2.68
2.76
2.79
3.4
2.6
2.5
2.76
2.53
2.5
3.1
3.1
3.8
2.79
3.99
2.72
2.62
2.96
3
3.28
2.61
2.83
2.86
3.1
2.5
2.6
3.5
3.2
3
2.61
3.8
2.71
2.6
2.8
2.53
3.58
3.5
2.6
2.8
2.94
2.6
2.63
2.88
2.8
2.8
3.28
3.03
2.97
2.6
2.68
2.5
2.61
2.79
2.5
3.1
2.9
2.9
2.8
4
2.8
2.7
2.6
4.6
2.6
3.3
2.6
2.6
2.5
2.5
2.65
3.67
2.7
2.7
2.81
2.61
2.7
2.59
2.7
3.29
2.6
2.5
3.7
2.7
2.9
2.6
2.7
3.29
2.5
2.9
2.9
2.57
3.04
3.2
2.8
2.9
3.4
2.7
2.5
2.7
2.7
2.6
2.7
2.59
2.6
2.7
2.6
2.71
2.75
3.3
2.9
2.6
2.9
2.5
3.5
2.7
3.1
2.6
3.1
2.7
2.6
2.6
2.6
3.93
2.65
2.6
3.29
3.4
2.5
3.33
2.65
2.82
3
3.8
2.81
3.5
2.62
3.1
2.71
2.7
3.02
2.73
3.54
2.6
2.9
2.8
2.67
3.62
2.5
2.8
2.9
3
2.73
4.07
3.8
2.5
2.5
2.7
2.78
2.69
2.6
2.52
2.58
2.89
2.89
2.5
2.7
2.7
3.28
2.5
2.5
2.82
3.1
2.7
2.52
2.5
3.93
2.6
3.5
3.09
2.6
2.93
2.57
2.69
2.67
2.6
3
3.24
2.55
2.67
2.6
2.57
2.6
2.58
2.7
3.3
2.79
4.54
2.6
2.61
2.56
2.9
2.57
2.56
2.56
2.6
2.8
2.7
2.7
2.7
3.1
3
2.6
3.77
2.7
2.7
2.7
2.6
2.5
2.7
2.77
2.74
2.68
2.5
2.59
2.94
3.31
2.7
2.56
2.76
3.15
2.8
2.59
2.73
2.82
3.61
3.72
2.79
3.29
2.7
3.41
2.88
2.81
2.5
3.2
2.95
3.25
2.7
2.54
2.6
2.9
3.62
2.8
2.64
2.52
2.56
3.22
2.82
2.5
3
2.93
2.6
2.8
2.51
2.7
2.5
3.1
2.6
2.5
2.5
2.5
2.6
2.5
2.72
2.7
2.73
2.6
2.7
2.74
2.5
2.55
2.6
2.74
2.55
2.79
2.6
2.56
4
2.6
3.6
2.5
3.4
2.54
2.9
3.6
3
2.99
2.8
2.66
3.3
4
2.9
2.7
2.73
2.7
2.6
2.9
2.51
2.62
2.5
2.66
2.84
2.72
2.6
2.54
2.5
2.5
3.32
2.71
3.34
2.7
2.9
2.5
3.56
3.5
2.5
2.69
2.75
2.5
2.5
2.8
2.5
2.89
2.72
2.74
3.45
2.81
2.5
2.5
2.66
2.84
2.57
2.69
2.6
2.6
2.5
3.2
2.7
2.53
3.2
3.5
3
2.84
2.6
2.7
2.63
2.91
3.25
2.51
2.6
2.5
2.73
2.7
2.53
2.51
2.7
2.7
2.57
2.5
2.86
2.5
2.6
2.86
2.6
2.57
2.7
3.25
2.6
2.9
3.54
2.57
3.15
2.5
2.76
2.5
3.53
2.96
2.8
2.5
2.57
2.6
2.7
2.5
2.76
2.57
4.22
3.1
2.9
2.6
2.84
3
2.8
3.2
2.73
2.7
2.69
2.6
3
3.48
2.78
3.16
2.6
2.7
2.7
3.2
3
2.6
2.8
3.12
3.26
3.2
3.24
2.95
2.7
2.7
3.76
2.84
2.66
2.71
2.52
3.4
2.7
2.5
2.5
3
2.62
2.5
2.6
2.9
2.5
2.7
2.5
2.61
2.6
2.53
2.8
3.05
2.63
2.5
2.57
2.9
2.8
2.6
2.6
3.35
2.63
3
3.2
2.93
2.61
2.6
2.7
3
2.5
2.72
2.58
2.58
2.6
2.8
2.7
2.7
2.5
2.5
3.3
2.5
2.7
2.57
2.7
2.6
2.8
2.81
2.5
3.31
2.6
4.28
2.9
2.7
2.6
2.5
2.5
2.8
3.02
2.73
3.16
2.63
2.5
2.7
3.83
2.5
2.85
2.7
2.7
2.52
2.76
2.8
2.61
2.7
3.21
2.82
2.5
2.7
2.99
2.93
2.72
2.5
3.76
3.08
