Latitude,magnitude
34.1019,2.6
31.9418335,2.6
40.3488333,2.59
40.5071,3.2
36.0251667,2.85
36.0263333,2.57
32.9071667,2.67
36.0256667,3.03
36.023,3.02
36.0235,3.12
35.0445,3.51
35.0398333,2.84
35.0418333,2.58
32.40325928,3
41.6779,2.5
40.477,2.68
44.3233,2.5
39.7995,2.51
32.4788333,2.59
31.70753413,2.5
39.7941667,2.59
33.8395,2.5
31.59538051,2.9
38.457,2.82
31.72378947,2.9
35.1025,2.62
31.6167162,2.6
31.94366455,3.1
36.0826667,2.64
40.2843,3.3
40.3178333,2.7
39.801,2.91
40.2843333,2.77
40.5511667,2.63
34.847,2.69
31.93725586,2.5
38.142,3.9
31.66599622,2.6
44.409,3
33.3355,4
35.781,2.96
35.7831667,2.75
31.97845459,2.7
38.1647,2.9
36.851,4.5
44.3114,3.3
40.5941667,2.57
40.3695,2.59
33.949,3.26
36.4708333,2.5
38.6837,2.5
31.9091667,2.57
38.6553333,3.47
31.94915771,2.5
36.8676667,2.76
33.033,2.72
37.5181667,2.8
37.5176667,2.65
33.0298333,2.54
35.28,2.51
35.7717,2.5
38.7186,2.5
31.8746667,2.58
34.1328333,2.61
31.64738647,2.5
31.02901617,3.3
44.3858,2.9
31.925354,3
38.8461667,3.14
32.8841667,2.55
46.2445,2.81
38.7856667,3.36
38.017,2.96
38.0151667,2.59
33.7323333,3.62
37.7281667,3.09
49.5216,2.5
37.2266,2.9
40.2898333,2.87
31.929,2.7
40.2876667,2.6
37.2921667,2.73
36.10316667,2.54
44.216,2.5
37.3256667,2.85
44.5821667,2.8
36.8373333,2.85
34.0871667,2.59
31.11109842,2.8
38.8081667,3.27
35.9861667,2.64
41.345,2.63
39.7513333,2.55
36.1376667,2.73
44.3143,2.5
36.85266667,2.6
36.85416667,2.79
30.95533634,2.9
31.87774658,3.3
31.66640728,2.5
34.4171667,3.86
34.4205,2.64
36.85333333,2.61
40.5145,3.1
31.6685959,3
35.9163333,2.93
31.67579431,3.2
37.7395,3.24
31.67227936,2.8
33.6562,2.5
39.4843,2.5
31.67209952,2.9
31.67164338,3.7
31.66774561,3.5
31.67437675,4.2
31.67881614,3
31.67236859,3
31.67790378,2.8
31.67184397,2.6
31.66401406,2.7
31.67114254,2.5
31.6695081,3.5
31.66857506,2.8
31.70722294,2.9
31.8545,2.73
31.8526667,2.93
31.8561667,3.03
31.8636667,3.36
35.6595,2.63
34.3891667,3.17
31.6179215,2.8
31.67257379,2.8
32.06268311,3.2
33.6092,2.5
38.1622,3.4
45.8832,2.7
29.04327393,2.5
31.87683105,2.9
38.1814,4.7
38.1841,2.6
36.9151667,2.54
40.6161667,2.71
31.08599019,2.5
40.3516667,2.53
36.8451667,3.09
35.7026667,2.94
37.7313333,2.91
34.4116667,2.74
35.6986667,3.3
44.5132,2.5
44.3749,2.9
32.9991667,2.93
36.854,2.52
36.85383333,2.55
31.91619873,2.6
32.4325,2.98
32.76580811,2.8
38.1638,2.7
32.0906667,2.73
31.66410315,3.5
31.6577834,2.6
36.7936667,2.76
37.4691667,2.89
38.0868333,2.66
31.66877305,2.5
40.292,3.14
38.5735,3.53
47.5045,2.9
36.9223333,2.82
38.1543,3.4
31.66585924,2.9
28.45367432,3.5
34.0348333,2.65
32.2935,2.56
38.2511,3.5
36.7206667,3.4
32.7904,2.6
39.6179,2.5
36.85616667,3.24
36.85366667,2.93
40.1717,3
31.68902986,2.9
31.66328751,3
31.65894844,2.5
31.59793884,2.5
35.9585,2.82
31.6485,2.6
32.8198,2.6
40.7488333,2.64
43.5066,2.7
39.7018,2.8
31.70796236,2.6
44.4418,2.5
38.8235,2.61
33.6523,2.6
32.7053333,2.54
30.1675,4.4
38.1712,2.8
34.5776,2.9
38.1722,2.6
38.1861,3.5
34.4211667,3.98
34.4221667,3.05
31.67488942,3.1
31.66013658,2.9
35.544,2.64
31.2145,2.72
31.76048572,3
31.6062943,2.6
32.3331667,3.26
40.3873333,2.67
38.5821667,2.7
44.4057,2.5
34.439,2.84
34.441,2.83
37.0276,3
34.4333333,2.61
31.67128354,2.7
40.2943333,2.54
37.1243333,2.68
38.141,3.5
31.3552,3.1
38.5848333,3.44
38.5778333,2.83
33.8533333,2.73
31.99610752,2.8
38.7805,3.78
44.3533,2.6
32.0253333,2.82
38.0896,3.1
31.59719319,3.1
38.0585,3.5
31.66011153,4.3
31.6625934,3.3
36.527,2.53
35.5136667,3.27
36.5286667,3.22
44.2242,2.6
44.217,2.9
31.68038997,2.9
38.7798333,2.69
